epoch,train_success,test_success
0,0.11,0.11333333333333333
1,0.12,0.12333333333333334
2,0.13,0.08333333333333333
3,0.11666666666666667,0.12333333333333334
4,0.11333333333333333,0.09333333333333334
5,0.13666666666666666,0.11666666666666667
6,0.12,0.13333333333333333
7,0.11666666666666667,0.12333333333333334
8,0.14333333333333334,0.14333333333333334
9,0.14333333333333334,0.12666666666666668
10,0.12666666666666668,0.11666666666666667
11,0.11,0.10333333333333333
12,0.10666666666666667,0.09
13,0.12333333333333334,0.15
14,0.12,0.12
15,0.16,0.13
16,0.13333333333333333,0.12333333333333334
17,0.10666666666666667,0.12333333333333334
18,0.09666666666666666,0.12
